Hostname,IP,Set,Stripe
njscss4p0503,172.18.79.15,2,3
njscss4p0805,172.18.79.35,2,3
njscss4p1201,172.18.77.31,2,3
tjscssa0402,172.16.75.2,2,3
tjscssd1204,172.16.75.22,2,3
tjscssd0803,172.16.75.45,2,3
tjscssb1303,172.16.76.15,2,3
tjscssc1405,172.16.76.35,2,3
tjscssb0802,172.16.77.6,2,3
tjscssc0904,172.16.77.28,2,3
tjscssc0605,172.16.77.47,2,3
tjscssc0403,172.16.78.21,2,3
tjscssc0103,172.16.78.39,2,3
tjscssb0103,172.16.79.11,2,3
tjscssd0505,172.16.79.29,2,3
hzscssa1503,172.20.75.3,2,3
hzscssa2001,172.20.75.23,2,3
hzscssb0603,172.20.76.3,2,3
hzscssb1003,172.20.76.23,2,3
hzscssb1503,172.20.76.43,2,3
hzscssb2001,172.20.79.7,2,3
hzscssc0303,172.20.77.3,2,3
hzscssc0605,172.20.77.23,2,3
hzscssc1001,172.20.77.43,2,3
hzscssc1303,172.20.78.15,2,3
hzscssc1605,172.20.78.35,2,3
hzscssc2001,172.20.79.31,2,3
njscss4k0104,172.18.75.4,2,4
njscss4k0406,172.18.75.24,2,4
njscss4l0402,172.18.75.44,2,4
njscss4l0704,172.18.76.16,2,4
njscss4l1006,172.18.76.36,2,4
njscss4l1402,172.18.77.8,2,4
njscss4m1804,172.18.78.4,2,4
njscss4n0804,172.18.78.24,2,4
njscss4n1304,172.18.78.44,2,4
njscss4p0504,172.18.79.16,2,4
njscss4p0806,172.18.79.36,2,4
njscss4p1202,172.18.77.32,2,4
tjscssa0403,172.16.75.3,2,4
tjscssd1205,172.16.75.23,2,4
tjscssd0905,172.16.75.41,2,4
tjscssb1304,172.16.76.16,2,4
tjscssc1406,172.16.76.36,2,4
tjscssb0803,172.16.77.7,2,4
tjscssc0905,172.16.77.29,2,4
tjscssc0606,172.16.77.48,2,4
tjscssc0505,172.16.78.17,2,4
tjscssc0104,172.16.78.40,2,4
tjscssb0104,172.16.79.12,2,4
tjscssd0506,172.16.79.30,2,4
hzscssa1504,172.20.75.4,2,4
hzscssa2002,172.20.75.24,2,4
hzscssb0604,172.20.76.4,2,4
hzscssb1004,172.20.76.24,2,4
hzscssb1504,172.20.76.44,2,4
hzscssb2002,172.20.79.8,2,4
hzscssc0304,172.20.77.4,2,4
hzscssc0606,172.20.77.24,2,4
hzscssc1002,172.20.77.44,2,4
hzscssc1304,172.20.78.16,2,4
hzscssc1606,172.20.78.36,2,4
hzscssc2002,172.20.79.32,2,4
njscss4k0105,172.18.75.5,2,5
